 1. Budget for the action,All Years,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year 1,Unnamed: 6,Unnamed: 7,Unnamed: 8
Costs,Unit,# of units,"Unit value
(in EUR)","Total Cost
(in EUR)",Unit,# of units,"Unit value
(in EUR)","Total Cost
(in EUR)"
1. Human Resources,,,,,,,,
5.8 Meeting room rent for program meetings ,Contract,8,1500,12000,Contract,4,1500,6000
5.9 Catering for program meetings ,Contract,8,300,2400,Contract,4,300,1200
5.10 Learning event venue and catering ,Contract,2,6000,12000,Contract,1,6000,6000
5.11 Interpreters for event ,Contract,2,1000,2000,Contract,1,1000,1000
5.12 Printing and materials for event ,Lump Sum ,2,1000,2000,Lump Sum ,1,1000,1000
5.13.0 Expenditure verification/Audit Fairfood,Per audit ,3,11666,34998,Per audit ,1.5,11666,17499
5.13.1 Expenditure verification/Audit WWF,Per audit ,3,11666,34998,Per audit ,1.5,11666,17499
5.13.2 Expenditure verification/Audit Sucafina,Per audit ,3,11666,34998,Per audit ,1.5,11666,17499
5.13.3 Expenditure verification/Audit PT CAN,Per audit ,3,11666,34998,Per audit ,1.5,11666,17499
5.13.4 Expenditure verification/Audit PT KGF,Per audit ,3,11666,34998,Per audit ,1.5,11666,17499
5.13.5 Expenditure verification/Audit Verstegen,Per audit ,3,11666,34998,Per audit ,1.5,11666,17499
5.14 Publications,Per packages,21,600,12600,Per packages,10.5,600,6300
"5.15 Studies, research",Per month,24,4.228,101.472,Per month,12,4.228,50.736
5.16 Translation for publications and studies,Per pages,300,25,7500,Per page,150,25,3750
"5.17 Sucafina - Training farmers on regen ag, Agroforestry system & financial literacy",Per farmer,2000,15,30000,Per farmer,1000,15,15000
5.18 Sucafina - Baseline data collection (Aceh),Per plot,2000,13,26000,Per plot,1000,13,13000
"5.19 Sucafina - Regen & Agroforestry Demo plots x 4, 1ha each",Per demo plot,4,7.75,31,Per plot,2,7.75,15.5
5.20 Sucafina - Coffee nursery - 6 nurseries ,Per Nursery,6,4.417,26.502,Per Nursery,3,4.417,13.251
5.21 Sucafina - Agroforestry seedlings nurseries 6 ,Per Nursery,6,4.167,25.002,Per Nursery,6,4.167,25.002
5.22 Sucafina - farm and soil assessments,Per sample,10,430,4300,Per sample,10,430,4300
5.23 PT CAN - Commnunity engagement and farmer training Venue Rent,Per Event,30,100,3000,Per Event,10,100,1000
"5.24 PT CAN - Local language Translation, interpreters",Per Package,6,250,1500,Per Package,2,250,500
5.25 PT CAN - Financial services (bank guarantee costs etc.),Per Package,36,50,1800,Per Package,12,50,600
5.26 PT CAN - Expert/consultant_Agroforestry Consultation,Contract,1,8000,8000,Contract,0.5,8000,4000
5.27 PT CAN - Expert/consultant_Media and Communication Consultation,Contract,1,8000,8000,Contract,0.5,8000,4000
5.28 PT CAN - Expert/consultant_Regenerative Community ,Contract,1,8000,8000,Contract,0.5,8000,4000
5.29 PT CAN - Expert/consultant_FSA Certification ,Contract,1,8000,8000,Contract,0.5,8000,4000
5.30 PT CAN - Expert/consultant_Landscape Planning & Strategy ,Contract,1,8000,8000,Contract,0.5,8000,4000
5.31 PT CAN - Expert/consultant_Institutional Collaboration & Coordination ,Contract,1,8000,8000,Contract,0.5,8000,4000
5.32 PT CAN - Expert/consultant_Landscape & Geospatial Analysis ,Contract,1,8000,8000,Contract,0.5,8000,4000
5.33 PT CAN - Expert/consultant_Business Development and Marketing Specialist,Contract,1,8000,8000,Contract,0.5,8000,4000
5.34 PT CAN - Spice Hub Managers,Contract,8,10000,80000,Contract,4,10000,40000
5.35 PT CAN - Community Nursery Manager,Contract,1,8000,8000,Contract,0.5,8000,4000
5.36 PT CAN - Post Harvest Facility Manager,Contract,1,7500,7500,Contract,0.5,7500,3750
5.37 PT CAN - MUTN Manager,Contract,1,7500,7500,Contract,0.5,7500,3750
5.38 PT CAN - Experts/Speakers for training of trainers,Per Speaker,30,300,9000,Per Speaker,10,300,3000
"5.39 PT CAN - Community-Stakeholder meeting (room rent, catering, etc)",Meeting,6,250,1500,Meeting,2,250,500
"5.40 PT CAN - Seasonal labor (compost making, pruning, grassing, harvesting, etc)",Assignment,360,50,18000,Assignment,120,50,6000
"5.41 PT KGF - Printing of materials (training materials, flyers, banner, certificates etc). ",per month ,36,130,4680,per month ,18,130,2340
5.42 PT KGF - Daily labor - 2 persons,per day,650,10,6500,per day,200,10,2000
5.43 PT KGF - Rental of demofarm plot site,Per unit,3,5025.13,15075.39,Per unit,1,5025.13,5025.13
5.44 PT KGF - Rental of LKC Facility/Site,Per unit,3,7600,22800,Per unit,1,7600,7600
5.45 PT KGF - ILM data collection ,Contract,1,30000,30000,Contract,1,30000,30000
5.46 PT KGF - Impact and implementation monitoring ,Contract,1,20000,20000,Contract,0,20000,0
5.47 PT KGF - Farmer training package (3 training sessions per farmer),Farmer,4500,6.5,29250,Farmer,1500,6.5,9750
5.48 PT KGF - Community sessions packages (3 sessions for 2 communities),Per session,6,4500,27000,Per session,2,4500,9000
5.49 PT KGF - Expert/Consultant vendor and market mapping,Per unit,1500,4.029999999999999,6045,Per unit,1500,4.03,6045
"5.50 PT KGF - Field Equipment (uniforms, hat, t shirt, jacket, coat, boots)",Per unit,1500,5,7500,Per unit,1500,5,7500
5.51 PT KGF - Expert/Consultant - knowledge building of field staff on agroforesry and landscpae interventions ,Per unit,5,2000,10000,Per unit,1,2000,2000
5.52 PT KGF - Project launch event in two selected communities in Lampung,Per unit,2,3000,6000,Per unit,1,3000,3000
5.53 PT KGF - Learning events between fieldfacilitators,Per unit,6,1000,6000,Per unit,2,1000,2000
5.54 PT KGF - Laboratory Testing,Per sample,100,16.84,1684,Per sample,30,16.84,505.2
5.55 Verstegen - product branding and consumer engagement ,Contract,1,12000,12000,Contract,0,12000,0
"5.56 WWF - Trainings,Meeting, Coordination, Workshop",Per training,96,471,45216,Per training,50,471,23550
"5.57 WWF -Agroforestry Demo Plot Input (Seeding, Organic fertilizer, land clearing, daily wages, etc. per HA) and nurserry development.",Per HA,100,1045,104500,Per HA,70,1045,73150
5.58 Seedling & compost transportation ,per farmer ,1250,10,12500,per farmer ,400,10,4000
"Subtotal Other costs, services",,,,1157122.366,,,,848245.821
6. Other (e.g. activities with their related visibility costs),,,,,,,,
"6.1 FSTP - additional paymnets to farmers that implement the program through premium pricing in pepper, coffee and cocoa for at least 1250 farmers",Total amount ,1,200000,200000,Total amount ,1,12000,12000
Subtotal Other,,,,200000,,,,12000
7.1 Subtotal direct eligible costs of the action: headings 1-6 without project office heading,,,,3694527.767,,,,1658459.07
7.2  Subtotal direct eligible costs of the action: all headings (1-6),,,,3739267.767,,,,1678191.07
"8. Indirect costs (maximum 7% of  7.1, subtotal of direct eligible costs of the action headings 1-6 without project office heading)",,,,258616.9437,,,,116092.1349
"9. Total eligible costs of the action, excluding contingency reserve and volunteers' work (7.2 + 8)",,,,3997884.711,,,,1794283.205
10.1  Provision for contingency reserve (maximum 5% of  7.2 'Subtotal of direct eligible costs of the action') ,,,,,,,,
10.2 Volunteers' work,Per day,,,,Per day,,,
11. Total eligible costs (9+10) ,,,,3997884.711,,,,1794283.205
"12. - Taxes 
      - Contributions in kind",,,,,,,,
13. Total accepted costs of the action (11+12),,,,3997884.711,,,,1794283.205
,,,,,,,,
"1. The description of items must be sufficiently detailed and all items broken down into their main components. The number of units and the unit value must be specified for each item depending on the indications provided. The budget has to include costs related to the action as a whole, regardless the  part financed by the contracting authority.",,,,,,,,
